"NAME";"ORIGINAL SIZE";"AFTER RESTRICTING TO DATASET";"STATUS"
"ANTIVIRAL_INNATE_IMMUNE_RESPONSE (GO:0140374)";66;62;""
"ANTRAL_OVARIAN_FOLLICLE_GROWTH (GO:0001547)";12;NA;"Rejected!"
"AORTA_DEVELOPMENT (GO:0035904)";69;62;""
"AORTA_MORPHOGENESIS (GO:0035909)";38;33;""
"AORTA_SMOOTH_MUSCLE_TISSUE_MORPHOGENESIS (GO:0060414)";6;NA;"Rejected!"
"AORTIC_VALVE_MORPHOGENESIS (GO:0003180)";39;39;""
"APICAL_CONSTRICTION (GO:0003383)";5;NA;"Rejected!"
"APICAL_JUNCTION_ASSEMBLY (GO:0043297)";83;68;""
"APICAL_PROTEIN_LOCALIZATION (GO:0045176)";16;15;""
"APOLIPOPROTEIN_A_I_MEDIATED_SIGNALING_PATHWAY (GO:0038027)";7;NA;"Rejected!"
"APOPTOTIC_CELL_CLEARANCE (GO:0043277)";44;38;""
"APOPTOTIC_CHROMOSOME_CONDENSATION (GO:0030263)";5;NA;"Rejected!"
"APOPTOTIC_DNA_FRAGMENTATION (GO:0006309)";18;17;""
"APOPTOTIC_MITOCHONDRIAL_CHANGES (GO:0008637)";112;101;""
"APOPTOTIC_PROCESS (GO:0006915)";1986;NA;"Rejected!"
"APOPTOTIC_PROCESS_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS (GO:1902262)";5;NA;"Rejected!"
"APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT (GO:1902742)";44;40;""
"APOPTOTIC_PROCESS_INVOLVED_IN_HEART_MORPHOGENESIS (GO:0003278)";7;NA;"Rejected!"
"APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS (GO:0060561)";30;28;""
"APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL (GO:0071839)";6;NA;"Rejected!"
"APOPTOTIC_SIGNALING_PATHWAY (GO:0097190)";640;NA;"Rejected!"
"APPENDAGE_DEVELOPMENT (GO:0048736)";194;174;""
"APPENDAGE_MORPHOGENESIS (GO:0035107)";156;142;""
"ARACHIDONATE_METABOLIC_PROCESS (GO:0019369)";52;39;""
"ARACHIDONATE_SECRETION (GO:0050482)";29;20;""
"ARF_PROTEIN_SIGNAL_TRANSDUCTION (GO:0032011)";22;20;""
"ARGININE_CATABOLIC_PROCESS (GO:0006527)";10;NA;"Rejected!"
"ARGININE_METABOLIC_PROCESS (GO:0006525)";23;20;""
"AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS (GO:0009074)";24;22;""
"AROMATIC_AMINO_ACID_METABOLIC_PROCESS (GO:0009072)";40;35;""
"AROMATIC_AMINO_ACID_TRANSPORT (GO:0015801)";13;NA;"Rejected!"
"ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION (GO:0034314)";46;44;""
"ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION (GO:0060842)";6;NA;"Rejected!"
"ARTERY_DEVELOPMENT (GO:0060840)";119;104;""
"ARTERY_MORPHOGENESIS (GO:0048844)";84;71;""
"ARTERY_SMOOTH_MUSCLE_CONTRACTION (GO:0014824)";10;NA;"Rejected!"
"ARTICULAR_CARTILAGE_DEVELOPMENT (GO:0061975)";6;NA;"Rejected!"
"ASCENDING_AORTA_DEVELOPMENT (GO:0035905)";5;NA;"Rejected!"
"ASPARAGINE_METABOLIC_PROCESS (GO:0006528)";5;NA;"Rejected!"
"ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS (GO:0009067)";15;NA;"Rejected!"
"ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS (GO:0009068)";11;NA;"Rejected!"
"ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS (GO:0009066)";38;33;""
"ASPARTATE_METABOLIC_PROCESS (GO:0006531)";9;NA;"Rejected!"
"ASPARTATE_TRANSMEMBRANE_TRANSPORT (GO:0015810)";20;18;""
"ASSOCIATIVE_LEARNING (GO:0008306)";93;80;""
"ASTRAL_MICROTUBULE_ORGANIZATION (GO:0030953)";11;NA;"Rejected!"
"ASTROCYTE_ACTIVATION (GO:0048143)";26;18;""
"ASTROCYTE_CELL_MIGRATION (GO:0043615)";9;NA;"Rejected!"
